Num,pdb_id,number_chain
0,1a22,2
1,1acb,2
2,1an1,2
3,1atn,2
4,1avx,2
5,1axi,2
6,1ay7,2
7,1buh,2
8,1bvn,2
9,1c9p,2
10,1clv,2
11,1d6r,2
12,1dfj,2
13,1dhk,2
14,1djs,2
15,1dp5,2
16,1dpj,2
17,1e96,2
18,1ees,2
19,1eja,2
20,1emv,2
21,1es0,2
22,1f34,2
23,1f3v,2
24,1f5r,2
25,1f7z,2
26,1fc2,2
27,1fle,2
28,1fmo,2
29,1fy8,2
30,1g0v,2
31,1g5j,2
32,1g6v,2
33,1g9i,2
34,1gl0,2
35,1gla,2
36,1grn,2
37,1gua,2
38,1h0t,2
39,1h1v,2
40,1h59,2
41,1he8,2
42,1i4e,2
43,1j2j,2
44,1j7d,2
45,1j7v,2
46,1jgn,2
47,1jh4,2
48,1jiw,2
49,1jsp,2
50,1jtd,2
51,1kac,2
52,1kbh,2
53,1ktz,2
54,1kxp,2
55,1l4d,2
56,1l4z,2
57,1l8c,2
58,1ldt,2
59,1lp1,2
60,1lw6,2
61,1lx5,2
62,1lzw,2
63,1m10,2
64,1m1e,2
65,1m5n,2
66,1mah,2
67,1mcv,2
68,1mzw,2
69,1nw9,2
70,1o9a,2
71,1oc0,2
72,1op9,2
73,1oph,2
74,1otr,2
75,1oyh,2
76,1ozs,2
77,1p69,2
78,1p6a,2
79,1p9d,2
80,1pd7,2
81,1pjm,2
82,1pjn,2
83,1ppe,2
84,1q0w,2
85,1q5w,2
86,1q68,2
87,1q69,2
88,1r0r,2
89,1r8u,2
90,1ri8,2
91,1rjc,2
92,1rkc,2
93,1rke,2
94,1ry7,2
95,1sb0,2
96,1shy,2
97,1smf,2
98,1sq0,2
99,1syq,2
100,1t01,2
101,1t0p,2
102,1t44,2
103,1t5z,2
104,1t63,2
105,1t6b,2
106,1ta3,2
107,1taw,2
108,1tba,2
109,1tdq,2
110,1te1,2
111,1tlh,2
112,1tm1,2
113,1tm3,2
114,1tm4,2
115,1tm5,2
116,1tm7,2
117,1to1,2
118,1u0i,2
119,1u0s,2
120,1u5s,2
121,1uel,2
122,1ugh,2
123,1us7,2
124,1usu,2
125,1v18,2
126,1vet,2
127,1veu,2
128,1vg0,2
129,1vrk,2
130,1wa7,2
131,1wa8,2
132,1wlp,2
133,1wpx,2
134,1wq1,2
135,1wqj,2
136,1wr1,2
137,1wrd,2
138,1xdt,2
139,1xg2,2
140,1xj7,2
141,1xr0,2
142,1xt9,2
143,1y1k,2
144,1y33,2
145,1y34,2
146,1y3b,2
147,1y3c,2
148,1y3d,2
149,1y48,2
150,1y4a,2
151,1y4d,2
152,1y6k,2
153,1y6m,2
154,1y6n,2
155,1y8n,2
156,1yc0,2
157,1ycs,2
158,1ydi,2
159,1yrt,2
160,1yru,2
161,1yvb,2
162,1yx5,2
163,1yx6,2
164,1z92,2
165,1zgu,2
166,1zhi,2
167,1zjd,2
168,1zli,2
169,1zsg,2
170,1zv5,2
171,1zvh,2
172,1zvy,2
173,2a24,2
174,2a78,2
175,2a7u,2
176,2a9k,2
177,2aq2,2
178,2arp,2
179,2b0z,2
180,2b12,2
181,2b42,2
182,2b7c,2
183,2b87,2
184,2btf,2
185,2c0l,2
186,2c1m,2
187,2c7m,2
188,2cpk,2
189,2den,2
190,2djy,2
191,2dsp,2
192,2dx5,2
193,2f31,2
194,2f4m,2
195,2few,2
196,2fju,2
197,2ftl,2
198,2ftm,2
199,2fuh,2
200,2fyl,2
201,2g2u,2
202,2g2w,2
203,2g81,2
204,2gng,2
205,2gww,2
206,2hd5,2
207,2hev,2
208,2hle,2
209,2hqw,2
210,2hrk,2
211,2hsq,2
212,2hth,2
213,2ixq,2
214,2j12,2
215,2jby,2
216,2jgz,2
217,2jod,2
218,2jt4,2
219,2jti,2
220,2ju0,2
221,2jy6,2
222,2k2s,2
223,2k2u,2
224,2k3s,2
225,2k3u,2
226,2k42,2
227,2k5b,2
228,2k6d,2
229,2k79,2
230,2k7a,2
231,2k8b,2
232,2k8c,2
233,2k8f,2
234,2ka4,2
235,2ka6,2
236,2kbw,2
237,2kc8,2
238,2kgx,2
239,2khs,2
240,2kj4,2
241,2knb,2
242,2kqs,2
243,2kri,2
244,2kt5,2
245,2ktf,2
246,2kvq,2
247,2kwi,2
248,2kwj,2
249,2kwk,2
250,2kwo,2
251,2kwu,2
252,2kwv,2
253,2kxh,2
254,2kxw,2
255,2l0f,2
256,2l0t,2
257,2l14,2
258,2l1l,2
259,2l29,2
260,2l2l,2
261,2l9s,2
262,2ld7,2
263,2leh,2
264,2lfw,2
265,2lkm,2
266,2lox,2
267,2lp0,2
268,2lp4,2
269,2lpb,2
270,2lqc,2
271,2lqh,2
272,2luh,2
273,2lvo,2
274,2lww,2
275,2lxm,2
276,2ly4,2
